title,link,description
E.P.A. Unfreezes at Least Some Climate Spending,https://www.nytimes.com/2025/02/21/us/politics/trump-epa-spending-unfrozen.html,"The funding, approved by Congress and overseen by the Environmental Protection Agency, had been blocked since January, when President Trump ordered a pause and review of climate and clean energy programs."
"Supreme Court Rejects, for Now, Trumpâ€™s Bid to Fire Government Watchdog",https://www.nytimes.com/2025/02/21/us/politics/supreme-court-trump-special-counsel.html,"The courtâ€™s order indicated that it may return to the issue as soon as next week, when a trial judgeâ€™s temporary restraining order is set to expire."
How Federal Employees Are Fighting Back Against Elon Musk,https://www.nytimes.com/2025/02/22/us/politics/federal-employees-elon-musk.html,"Some civil servants are using whatever levers they have to resist the orders of the worldâ€™s richest man, both in public and behind closed doors."
Bernie Sanders Isnâ€™t Giving Up His Fight,https://www.nytimes.com/2025/02/21/us/politics/bernie-sanders-iowa-trump.html,The senator worries that too many Democrats remain reluctant to shake up the system. But he does not regret defending Joseph R. Biden Jr. until the very end.
Judge Extends Block on N.I.H. Medical Research Cuts,https://www.nytimes.com/2025/02/21/us/politics/judge-nih-medical-research-cuts-universities.html,A federal judge in Massachusetts indicated she would move quickly to consider a more lasting injunction after hearing a laundry list of potential adverse effects of the Trump administration move to cut billions in funding.
Art Adviser. Friend. Thief.,https://www.nytimes.com/2025/02/18/arts/design/lisa-schiff-art-adviser-theft.html,"Lisa Schiff became the countryâ€™s leading art consultant, and drew her clients close. Then she stole millions from them. Now facing up to 20 years in prison, is she ready to repent?"
Barnes & Noble Widow to Auction $250 Million Art Collection,https://www.nytimes.com/2025/02/20/arts/design/barnes-noble-riggio-auction-art-mondrian.html,"Louise Riggio is downsizing her Manhattan apartment, which means selling more than 30 works by artists including Mondrian, Magritte and Picasso."
"Walter Robinson, Exuberant Art-World Participant and Observer, Dies at 74",https://www.nytimes.com/2025/02/14/arts/walter-robinson-dead.html,"A painter who took his subjects from pop culture, he was also the founding editor of Artnet.com and chronicled the rise of the SoHo art scene in the 1970s."
"Mel Bochner, Conceptual Artist Who Played With Language, Dies at 84",https://www.nytimes.com/2025/02/21/arts/mel-bochner-dead.html,"His early work made use of unexpected materials like pennies and masking tape. Later, he created trenchant word paintings that provoked and delighted."
"Egon Schiele Watercolor, Said to Be Nazi-Looted, Set for Auction",https://www.nytimes.com/2025/02/21/arts/design/egon-schiele-watercolor-nazi-looted-christies-auction.html,"Christieâ€™s, which values the work at more than $1 million, said the proceeds from any sale would be shared with the heirs of an art collector killed in a concentration camp."
"Leigh Bowery Arrives at Tate Modern, Without Labels",https://www.nytimes.com/2025/02/22/arts/design/leigh-bowery-tate-modern.html,"A new exhibition about the indefinable performer and designer wonâ€™t pigeonhole him, though it will bring his work to a much broader audience."
The Artists Finding New Ways to Depict the Human Body,https://www.nytimes.com/2025/02/21/t-magazine/contemporary-body-figurative-sculpture.html,"At a time of increasing anxiety about physical anatomy, figurative sculptors are breathing new life into one of the worldâ€™s oldest media."
Inside the Sky-High New York Apartment That Became an Artistâ€™s Entire World,https://www.nytimes.com/2025/02/20/t-magazine/lucas-samaras-new-york-apartment.html,"Lucas Samaras lived and worked on the 62nd floor of a Midtown building, transforming the space into a creative retreat unlike any other."
Why Did It Take a Fire for the World to Learn of Altadenaâ€™s Black Arts Legacy?,https://www.nytimes.com/2025/02/20/arts/design/altadena-wildfires-artist-preservation-history.html,"As Frieze Los Angeles shines a spotlight on art in the city, one community, long facing institutional apathy, calls for marking its memories in the public mind."
Three of Dawoud Beyâ€™s Favorite Artworks,https://www.nytimes.com/2025/02/19/t-magazine/dawoud-bey-alice-neel-walker-evans.html,"The photographer discusses Alice Neel, Walker Evans and the horror intrinsic to the American landscape."
"At Luna Luna You Can Look, but Please Donâ€™t Hop on the Rides",https://www.nytimes.com/2025/02/18/arts/design/luna-luna-shed-hudson-yards.html,"Visitors to the carnival, at the Shed through March 16, have been mostly undeterred by the Basquiat Ferris wheel and other attractions being off limits. It â€œmakes it more mystical,â€ one guest said."
"Graham Nickson, 78, Dies; Passionate Steward of the New York Studio School",https://www.nytimes.com/2025/02/15/arts/graham-nickson-dead.html,"An artist known for his lush, large-scale oil paintings, he also created the Drawing Marathon, a two-week boot camp that transformed the lives of participants."
Visionary Artworks Plumb the Mysteries of Creativity,https://www.nytimes.com/2025/02/15/arts/design/lincoln-walker-outsider-artist.html,"The self-taught artist Abraham Lincoln Walker worked in his basement on phantasmagorical paintings, discovered by the art world more than 30 years after his death."
Cleveland Museum to Return Prized Bronze Thought Looted From Turkey,https://www.nytimes.com/2025/02/14/arts/design/marcus-aurelius-bronze-turkey-cleveland.html,"The museum dropped a legal effort to block the seizure of the statue by investigators who said the bronze, thought by some to be of Marcus Aurelius, had been stolen."
"Dancing, With Alvin Aileyâ€™s Spirit Lurking in the Shadows",https://www.nytimes.com/2025/02/14/arts/dance/edges-of-ailey-whitney-museum.html,The performance portion of â€œEdges of Aileyâ€ at the Whitney Museum of American Art was best when it stepped away from tradition.
An Artist Expands the Landscape of Sound,https://www.nytimes.com/2025/02/14/arts/design/christine-sun-kim-artist.html,"In a major show at the Whitney, Christine Sun Kim shines light on Deaf culture and measures sonic experience beyond the ear."
"Mother Love and Puppy Love, With All Their Twists and Turns",https://www.nytimes.com/2025/02/13/arts/design/camille-henrot-exhibition-hauser-and-wirth-art-sculptor.html,Camille Henrot uses abstract art to explore the realms of child (and dog) care in her smartly playful debut show at Hauser & Wirth.
"Images of Ukraine, When Things Began to Fall Apart",https://www.nytimes.com/2025/02/13/arts/design/images-of-ukraine-when-things-began-to-fall-apart.html,The citizens photographed by Boris Mikhailov in the last days of the Soviet Union evoke laughter and sympathy in a show at Marian Goodman.
"David Edward Byrd, Whose Posters Captured Rockâ€™s Energy, Dies at 83",https://www.nytimes.com/2025/02/12/arts/design/david-edward-byrd-dead.html,"His designs for Jimi Hendrix, the Who and others embodied the spirit of the psychedelic era. He also created images for stage shows like â€œGodspell.â€"
A Young Painter Puts Black Nudes Among Old Masters,https://www.nytimes.com/2025/02/12/arts/design/somaya-critchlow-dulwich-picture-gallery-the-chamber.html,"Somaya Critchlow, 31, is showing her provocative paintings alongside a storied collection that includes work by Rubens, van Dyck and VelÃ¡zquez."
Husband of Prominent Gallerist Is Charged With Hiring His Killer,https://www.nytimes.com/2025/02/11/arts/design/daniel-sikkema-murder-brent-sikkema.html,Federal officials said Daniel Sikkema was part of a murder-for-hire conspiracy that resulted in the stabbing death of the art dealer Brent Sikkema. His lawyer denied the charges.
"Hilton Als Is a Critic Who Curates, or Is It the Other Way Around?",https://www.nytimes.com/2025/02/11/arts/design/hilton-als-new-yorker-curator-art-hill.html,The Pulitzer-prize winning writer and essayist talks about his love of art and how he reconciles two challenging roles.
100 Years of How Black Painters See Themselves,https://www.nytimes.com/2025/02/10/arts/design/how-we-see-us-koyo-kouoh-bozar-brussels.html,"Koyo Kouoh, who will curate the 2026 Venice Biennale, has assembled a huge survey at the Bozar Centre for Fine Arts in Brussels presenting Black life on its own, frequently gorgeous, terms."
Three Men Convicted of Playing a Role in Ring That Preyed on U.S. Museums,https://www.nytimes.com/2025/02/09/arts/design/three-convicted-in-museum-thefts.html,"A jury found them guilty of conspiring as part of a crew to steal art, sports memorabilia and artifacts from smaller museums."
An El Greco Is Pulled From an Auction as Romania Objects,https://www.nytimes.com/2025/02/07/arts/design/el-greco-painting-christies-romania-government.html,The Romanian government has long sought dozens of valuable paintings that it says the countryâ€™s last king took into exile in 1947.
Alice Coltrane: Artistâ€™s Muse and Sonic Healer,https://www.nytimes.com/2025/02/07/arts/design/alice-coltrane-hammer-museum.html,"Coltrane, a jazz virtuoso who devoted much of her life to a spiritual journey, is a beacon for todayâ€™s artists. An exhibition at the Hammer Museum shows why."
Caspar David Friedrich: A Solitary Wanderer Finding His Way in the Fog,https://www.nytimes.com/2025/02/06/arts/design/caspar-david-friedrich-metropolitan-museum.html,"The first major U.S. exhibition of Germanyâ€™s great Romantic painter is a historic showcase. Itâ€™s also a blueprint for how to think, and how to feel, in a changing environment."
"From Crime Scenes to Hollywood Stars, Weegee Snapped Them All",https://www.nytimes.com/2025/02/06/arts/design/weegee-icp-crime-scenes-photography.html,ICP offers a rare display of his late-career portraits of celebrities alongside the classic New York photos he is celebrated for. How did he go wrong?
"Jaune Quick-to-See Smith Wanted to Be the Rule, Not the Exception",https://www.nytimes.com/2025/02/03/arts/design/jaune-quick-to-see-smith-appraisal.html,"The artist, who died at 85, used Indigenous imagery like the canoe and the buffalo the way Warhol used soup cans."
Restored Anti-Fascism Mural by Philip Guston Unveiled in Mexico,https://www.nytimes.com/2025/02/01/arts/design/philip-guston-mural-mexico.html,"In 1934, two young artists drove from Los Angeles in a beat-up car to Mexico, to create a powerful artwork about repression. It was concealed â€” and then forgotten."
"She Was Chosen to Help Rebuild Notre-Dame. Then Fire Hit Her Adopted City, Too.",https://www.nytimes.com/2025/02/01/arts/design/notre-dame-fire-los-angeles.html,"Claire Tabouret, an artist in Los Angeles, was chosen to create new stained glass windows for the Paris cathedral. She never expected fires to shatter her sense of safety in California."
The Curious Power of Tarot Cards to Explain and Reveal,https://www.nytimes.com/2025/01/30/arts/design/tarot-exhibition-london-warburg-institute.html,"A new exhibition in London traces the evolution of tarot from Renaissance Italy to the present day, with the card designs shifting to reflect the times."
What to Do in New York City in February,https://www.nytimes.com/2025/02/20/arts/things-to-do-nyc-february-2025.html,"Looking for something to do in New York? Be dazzled by Esperanza Spalding, join a singalong for Black History Month, or watch dance-themed films."
In the Footsteps of the Enslaved,https://www.nytimes.com/2025/01/30/arts/design/dawoud-bey-sean-kelly.html,"In â€œStony the Road,â€ the photographer Dawoud Bey offers a captiveâ€™s-eye view of the Richmond Slave Trail."
Judith Bernstein at 82 Comes Back Swinging,https://www.nytimes.com/2025/01/30/arts/design/judith-bernstein-artist-kasmin-gallery.html,"Unrelenting, unrepenting, the artist who made a name for herself with huge drawings of hairy phallic screws presents a world of work with exuberant energy over 60 years."
Japan Once Dominated the Art Market. Is the Country Ready for a Comeback?,https://www.nytimes.com/2025/01/25/arts/design/japan-art-market.html,Japanese collectors spent billions on European paintings during the bubble economy of the 1980s. Officials today hope to inspire a new generation of art lovers.
Mona Lisa to Get Her Own Room as the Overcrowded Louvre Expands,https://www.nytimes.com/2025/01/28/arts/design/mona-lisa-louvre-macron.html,President Emmanuel Macron announced plans to alleviate crowds at the Paris museum and to charge higher fees for visitors from outside the European Union.
"The Tangs, New Donor Royalty, Step Into the Spotlight",https://www.nytimes.com/2025/01/27/arts/design/tang-oscar-hsu-tang-agnes-philanthropists.html,"With major gifts to leading arts institutions, Oscar L. Tang and Agnes Hsuâ€Tang have recently landed in the center of New York cultural philanthropy."
Kobe Bryant Still Reigns Over Los Angeles on Hundreds of Murals,https://www.nytimes.com/2025/01/26/arts/design/kobe-bryant-murals-los-angeles.html,"â€œThereâ€™s always a few athletes that cross over into almost superhero world,â€ said an artist whose mural became a site of mourning when the N.B.A. star died in a helicopter crash."
Trump Executive Order Prompts National Gallery to End Diversity Programs,https://www.nytimes.com/2025/01/24/arts/design/national-gallery-diversity-equity-inclusion.html,The National Gallery of Art said it had closed its office of belonging and inclusion to comply with a presidential order.
"5 Paths Through the Winter Show, an Exhibition of Earthly Delights",https://www.nytimes.com/2025/01/23/arts/design/winter-show-park-avenue-armory.html,"The fair, with 77 exhibitors, is a mini-museum, featuring arts, antiquities and design objects, from old masters to art jewelry."
New Takes on a Classic Taiwanese Treat,https://www.nytimes.com/2025/01/23/t-magazine/pineapple-cake.html,"Plus: trompe lâ€™oeil ceramics, a Madrid hotel designed by Philippe Starck and more recommendations from T Magazine."
"With Their Lives Upended, They Practiced the Art of Resilience",https://www.nytimes.com/2025/01/16/arts/design/japanese-artists-smithsonian-show.html,â€œPictures of Belongingâ€ traces the careers of three female artists who flourished despite the U.S. governmentâ€™s imprisonment of Japanese Americans during World War II.
"â€˜Starry Night,â€™ All Night Long, as a Van Gogh Blockbuster Ends",https://www.nytimes.com/2025/01/20/arts/design/van-gogh-national-gallery-all-nighter.html,"The National Gallery in London stayed open all night for die-hard fans of the Dutch painter. â€œMidnight offers more room for reflection,â€ one attendee said."
The Exile and Rebirth of the Southâ€™s Storied â€˜Iron Horseâ€™,https://www.nytimes.com/2025/01/18/arts/design/iron-horse-sculpture-athens-georgia.html,"Exactly why the sculpture was attacked by University of Georgia students may always be a mystery. But 70 years later, restored, it rides again."
Art Collector Says He Lost Warhols and Harings to L.A. Fire,https://www.nytimes.com/2025/01/14/arts/design/la-fires-art-collector-warhol-haring.html,Ron Rivlin said he had lost about 30 works by Andy Warhol â€” and dozens more by other artists â€” when his Pacific Palisades home was destroyed.
"Des Moines Art Center to Demolish Work and Pay Land Artist $900,000",https://www.nytimes.com/2025/01/14/arts/design/des-moines-art-center-mary-miss-settlement-land-art.html,"The artist Mary Miss agreed to the settlement, ending a yearlong battle to save her work. The museum said her piece, which it had commissioned, had become a safety hazard."
Ace Gallery Founder Is Sentenced to 24 Months in Embezzlement Case,https://www.nytimes.com/2025/01/13/arts/design/douglas-chrismas-ace-gallery-embezzlement-sentence.html,"Douglas Chrismas, who was found guilty last May on three counts of embezzlement from his galleryâ€™s bankruptcy estate, is to report to prison on Feb. 17."
Impressionism: Le Quiz!,https://www.nytimes.com/interactive/2025/01/16/arts/design/impressionism-quiz.html,Itâ€™s been 150 years since Monet and the Impressionists shocked Paris with their rebellious SociÃ©tÃ© Anonyme show. How well do you know those once-revolutionary smudges?
"In an Extravagant New Gallery, Nick Cave Goes Big in Bronze",https://www.nytimes.com/2025/01/16/arts/design/nick-cave-jack-shainman-gallery-art.html,"To match Jack Shainman Galleryâ€™s new Beaux-Arts flagship, the artist known for his Soundsuits debuts a sculpture nearly 26 feet high."
Accessibility Initiatives Are Taking a Hit Across the Sciences,https://www.nytimes.com/2025/02/22/science/trump-accessibility-research.html,Confusion has ensued about the future of programs and research supporting people with disabilities as a result of President Trumpâ€™s executive order.
Ban on D.E.I. Language Sweeps Through the Sciences,https://www.nytimes.com/2025/02/09/science/trump-dei-science.html,"President Trumpâ€™s executive order is altering scientific exploration across a broad swath of fields, even beyond government agencies, researchers say."
"Her Discovery Wasnâ€™t Alien Life, but Science Has Never Been the Same",https://www.nytimes.com/2025/02/11/science/arseniclife-felisa-wolfe-simon-retraction.html,"The internet erupted in controversy over Felisa Wolfe-Simon and colleaguesâ€™ claim of a microbe thriving on arsenic. Nearly 15 years later, sheâ€™s pursuing new research on the boundaries of life."
Ed Yong Wants to Show You the Hidden Reality of the World,https://www.nytimes.com/2025/02/22/magazine/ed-yong-interview.html,The Pulitzer Prize-winning science writer talks about burnout from covering the pandemic and how bird-watching gave him a new sense of hope.
The Teacher in Room 1214,https://www.nytimes.com/2025/02/23/health/teacher-shooting-parkland-florida.html,"When a gunman killed two of her students, Ivy Schamis was the only adult in the room. Her journey through guilt and healing sheds light on the impossible role of American teachers."
"Dairy Workers May Have Passed Bird Flu to Pet Cats, C.D.C. Study Suggests",https://www.nytimes.com/2025/02/20/health/bird-flu-cats-michigan.html,"But the study, whose publication was delayed by a pause in public communications by the agency, leaves key questions unanswered."
Trump Administration Has Fired Health Inspectors at Some Border Stations,https://www.nytimes.com/2025/02/19/health/trump-border-health-inspections.html,"Scientists worry that the losses may open the door to human, plant and animal diseases that would otherwise have been caught."
Trillions of Viruses Live in Your Body. A.I. Is Trying to Find Them.,https://www.nytimes.com/2025/02/19/health/human-virome-program.html,The Human Virome Program will analyze samples from thousands of volunteers in an effort to understand how viruses affect health.
Scientists Describe Rare Syndrome Following Covid Vaccinations,https://www.nytimes.com/2025/02/19/health/covid-post-vaccination-syndrome.html,"In a small study, patients with the syndrome were more likely to experience reactivation of Epstein-Barr virus and high levels of a coronavirus protein."
Firings Expand at Interior Department With Purge of Probationary Workers,https://www.nytimes.com/2025/02/18/us/politics/national-science-foundation-firings.html,"More than 2,000 workers at the Interior Department were fired in recent days, according to counts from workers groups and those familiar with the cuts, as probationary workers were targeted across the government."
Pope Francis Has Bilateral Pneumonia,https://www.nytimes.com/2025/02/18/health/pope-francis-bilateral-pneumonia.html,"The condition, which entails pneumonia in both lungs, is potentially grave, according to health experts."
Will That Asteroid Strike Earth? Risk Level Rises to Highest Ever Recorded.,https://www.nytimes.com/2025/02/18/science/asteroid-2024-yr4-impact.html,"The threat from space rock 2024 YR4 has surpassed that of Apophis, an asteroid feared by scientists 20 years ago. The danger remains low, but experts are estimating the damage that could be done."
The Gene That Made Mice Squeak Strangely,https://www.nytimes.com/2025/02/18/science/language-genes.html,A new study suggests that the NOVA1 gene may have been a key player in the evolution of human language.
An Invisible Medical Shortage: Oxygen,https://www.nytimes.com/2025/02/17/health/medical-oxygen-shortage.html,"Oxygen is vital to many medical procedures. But a safe, affordable supply is severely lacking around the world, according to a new report."
Louis Pasteurâ€™s Relentless Hunt for Germs Floating in the Air,https://www.nytimes.com/2025/02/17/science/airborne-louis-pasteur-germs.html,"In 19th-century France, the young chemist challenged the theory of spontaneous generation and discovered an invisible world of airborne microbes."
"As Trump Targets Research, Scientists Share Grief and Resolve to Fight",https://www.nytimes.com/2025/02/16/climate/trump-science-funding-cuts.html,"At a conference in Boston, the nationâ€™s scientists commiserated and strategized as funding cuts and federal layoffs throw their world into turmoil."
On a Mission to Heal Gila Monsters,https://www.nytimes.com/2025/02/16/science/gila-monsters-cryptosporidium.html,"After years in Big Pharma, a chemist pivoted to help save the species that made Ozempic possible."
New Insights Into Older Hearts,https://www.nytimes.com/2025/02/15/health/heart-disease-aging.html,"Heart disease is more common in people over 65, but treatments are better than ever. That can complicate decision-making for older heart patients."
A Mathematician Who Makes the Best of Things,https://www.nytimes.com/2025/02/14/science/mathematics-figalli-optimal-transport.html,"Alessio Figalli studies optimal transport, a field of math that ranges from the movements of clouds to the workings of chatbots."
Hummingbirds Living in a Hive Found for the First Time,https://www.nytimes.com/2025/02/14/science/hummingbirds-living-in-a-hive-found-for-the-first-time.html,"In a remote mountain cave in Ecuador, hummingbirds were discovered sleeping and nesting together."
"Lasers, Waffle Fries and the Secrets in Pterosaursâ€™ Tails",https://www.nytimes.com/2025/02/14/science/pterosaur-tails-fossils.html,Scientists identified new structures in the tail vanes of the prehistoric flying reptiles.
"This Cityâ€™s Sewer System Is Full of Alligators, but Itâ€™s Not New York",https://www.nytimes.com/2025/02/13/science/alligators-sewers-florida.html,"Researchers found crocodilians, bats, raccoons and other creatures prowling a Florida townâ€™s storm drains, â€œlike something out of â€˜Teenage Mutant Ninja Turtles,â€™â€ one said."
C.D.C. Study Finds Silent Bird Flu Infections in Dairy Veterinarians,https://www.nytimes.com/2025/02/13/science/cdc-bird-flu-infections.html,"The vets had no symptoms, and one worked only in states where no dairy infections had been reported."
Measles Outbreak Hits Town in Texas,https://www.nytimes.com/2025/02/12/science/measles-vaccination-texas.html,"As of Tuesday, 22 children and two adults had been infected, all of whom were unvaccinated, local officials said."
"Californiaâ€™s Scary Product Warning Labels Might Be Working, Study Says",https://www.nytimes.com/2025/02/12/climate/california-chemical-warning-labels.html,"Products must state if they contain chemicals tied to cancer or other risks. As a result, manufacturers have pulled back from using the chemicals, researchers found."
â€˜Ultrahigh Energyâ€™ Neutrino Found With a Telescope Under the Sea,https://www.nytimes.com/2025/02/12/science/astrophysics-universe-neutrinos.html,"Itâ€™s the most energetic particle of its kind ever discovered, and scientists have no idea where it came from."
Trumpâ€™s W.H.O. Exit Throws Smallpox Defenses Into Upheaval,https://www.nytimes.com/2025/02/12/health/smallpox-who-cdc-bioweapons.html,Health experts see his retreat from international cooperation as disrupting the safe-keepers of one of the worldâ€™s deadliest pathogens.
Birds of Paradise Glow on Mating Parade,https://www.nytimes.com/2025/02/11/science/birds-of-paradise-luminescence.html,"The always colorful males light up with biofluorescence, sending off signals."
But how much does breed shape a dogâ€™s health and behavior?,https://www.nytimes.com/2025/02/09/science/dog-breed-health-behavior-westminster.html,Hereâ€™s what scientists have learned about how a dogâ€™s breed affects its health and behavior.
Why Trump Picked a Science Adviser Who Isnâ€™t a Scientist,https://www.nytimes.com/2025/01/29/science/trump-science-advisor-michael-kratsios.html,"Michael Kratsios, who served in the White House and Defense Department in the first Trump administration, is a policy specialist on artificial intelligence."
Curses! A Swearing Expert Mulls the State of Profanity.,https://www.nytimes.com/2025/02/08/science/science-of-swearing-cursing.html,"Timothy Jay, a scholar in the science of swearing, has a few choice words about why we curse and how to cut back (if you want to)."
"With Aid Cutoff, Trump Halts Agencyâ€™s Legacy of â€˜Acting With Humanityâ€™",https://www.nytimes.com/2025/02/08/health/trump-usaid-health-aid.html,Shock and grief rippled through the health community as lifelines for care were abruptly severed.
Scared of Spiders? Also Scared of Zombies? We Have Some Bad News.,https://www.nytimes.com/2025/02/07/science/spiders-fungus-zombies-bbc.html,A BBC documentary crew in Northern Ireland stumbled upon a fungus that hijacks spiders in an arachnid version of â€œThe Last of Us.â€
Surgeons Transplant Engineered Pig Kidney Into Fourth Patient,https://www.nytimes.com/2025/02/07/health/fourth-pig-kidney-transplant.html,A 66-year-old man from New Hampshire became the fourth person to receive a pigâ€™s kidney.
"C.D.C. Posts, Then Deletes, Data on Bird Flu Spread Between Cats and People",https://www.nytimes.com/2025/02/06/health/cdc-bird-flu-cats-people.html,"The data, which appeared fleetingly online on Wednesday, confirmed transmission in two households. Scientists called on the agency to release the full report."
What Lurks in This Flowerâ€™s Bizarrely Large Y Chromosome?,https://www.nytimes.com/2025/02/06/science/giant-y-chromosome-flower.html,"Scientists published a full genetic sequence of the genes that make some white campions male, and hope their work could unlock how the flower got that way."
Humpback Whales Sing the Way Humans Speak,https://www.nytimes.com/2025/02/06/science/language-humpback-whale-song.html,"The animalsâ€™ complex songs share structural patterns with human language that may make them easier for whales to learn, a new study suggests."
"In Greenland, the Ice Doesnâ€™t Just Flow, It Quivers and Quakes",https://www.nytimes.com/2025/02/06/climate/greenland-ice-quakes.html,"By using a fiber-optic cable to detect tiny vibrations a mile below the surface, scientists discovered a surprising way that ice sheets move."
How to Boil an Egg? Scientists Claim to Have Cracked the Recipe.,https://www.nytimes.com/2025/02/06/science/boiled-egg-science-recipe.html,Their new method takes 32 minutes.
Fossils Preserve Both Skin and Scales From an Ancient Sea Monster,https://www.nytimes.com/2025/02/06/science/plesiosaur-fossils-skin-scales.html,The mix of features offers new clues to how plesiosaurs navigated prehistoric oceans.
Cows Have Been Infected With a Second Form of Bird Flu,https://www.nytimes.com/2025/02/05/health/bird-flu-cattle-d11.html,A new version of the virus is widespread in wild birds but had not previously been detected in cows.
Foreign Aid Freeze Leaves Millions Without H.I.V. Treatment,https://www.nytimes.com/2025/02/05/health/trump-usaid-pepfar.html,"President Trumpâ€™s pause on aid, and the gutting of the primary aid agency, could jeopardize the health of more than 20 million people worldwide, including 500,000 children, experts say."
The Search for the Original Silly Goose in the Fossil Record,https://www.nytimes.com/2025/02/05/science/goose-duck-fossil.html,Some paleontologists think that fossils recovered from Antarctica are evidence of birds similar to modern geese and ducks that lived alongside the dinosaurs.
The Physics That Keeps a Crowd From Becoming a Stampede,https://www.nytimes.com/2025/02/05/science/crowds-stampedes-pamplona.html,"A group of scientists studying the San FermÃ­n festival in Pamplona, Spain, believe thereâ€™s a way to predict the motions of a large crowd."
Ancient DNA Points to Origins of Indo-European Language,https://www.nytimes.com/2025/02/05/science/indo-european-language-ancient-human-dna.html,"A new study claims to have identified the first speakers of Indo-European language, which gave rise to English, Sanskrit and hundreds of others."
Drug Similar to Ozempic Failed to Treat Parkinsonâ€™s Disease in a Trial,https://www.nytimes.com/2025/02/04/health/parkinsons-disease-exenatide-byetta.html,The study may suggest that other researchers should be less optimistic about the prospects for treating a range of other conditions with newer weight-loss drugs.
"At an Antarctic Research Base, Football Is a Tether to Home",https://www.nytimes.com/2025/02/04/business/buffalo-bills-afc-antarctica.html,"Research scientists in remote locations need to get creative in order to follow their favorite teams, even when they donâ€™t like the outcomes."
F.D.A. Approves Studies of Pig Organ Transplants for Kidney Patients,https://www.nytimes.com/2025/02/03/health/pig-kidney-transplants-clinical-trials.html,The research offers hope to tens of thousands of patients with kidney failure who are on a long waiting list for an organ transplant.
C.D.C. Site Restores Some Purged Files After â€˜Gender Ideologyâ€™ Ban Outcry,https://www.nytimes.com/2025/02/03/health/trump-gender-ideology-research.html,Intense backlash prompted the reinstatement of some online resources. But guidelines for safe contraception and information on racial inequities in health care remain missing.
Could the Bird Flu Become Airborne?,https://www.nytimes.com/2025/02/03/health/bird-flu-airborne-covid.html,Scientists were slow to recognize that Covid spreads through the air. Some are now trying to get ahead of the bird flu.
Eerie Light Haunts a Southern Town. It May Come From Under the Earth.,https://www.nytimes.com/2025/02/01/science/earthquake-lights-summerville-ghost.html,A seismologist thinks natural phenomena could explain the Summerville Light and other mysteries around a South Carolina locale.
Something Small Is Killing Great White Sharks,https://www.nytimes.com/2025/02/01/science/canada-great-white-sharks.html,"Faced with a rash of shark deaths marked by brain swelling, Canadian and American scientists are trying to solve a marine mystery."
"This Carnivore Turned Up in Egypt After Vanishing 5,000 Years Ago",https://www.nytimes.com/2025/01/31/science/spotted-hyena-egypt.html,"When a scientist received a video of a spotted hyena in the southern part of his country, he thought someone was playing a trick on him."
Health Resources Vanish Following D.E.I. and Gender Orders,https://www.nytimes.com/2025/01/31/health/trump-cdc-dei-gender.html,"Vague federal directives have led to frantic action, and perhaps overreaction, before a Friday deadline."
"See Lucy Run, 3.2 Million Years Ago",https://www.nytimes.com/2025/01/31/science/running-afarensis-lucy.html,"Our early human ancestor was capable of running, if slowly, a new study finds."
"The Perfect Cacio e Pepe Recipe, According to Science",https://www.nytimes.com/2025/01/24/science/cacio-e-pepe-recipe-corn-starch.html,Italian scientists have drawn from thermodynamic principles to prevent a famous pasta from turning into a gooey mess.
Elon Musk Suggests SpaceX Will Accelerate Return of NASA Astronauts,https://www.nytimes.com/2025/01/28/science/musk-spacex-trump-nasa-astronauts.html,The founder of SpaceX said President Trump had asked his company to return two astronauts aboard the space station to Earth â€œas soon as possible.â€ NASA said it would do that â€œas soon as practical.â€
State Department Permits Distribution of H.I.V. Medications to Resume â€” for Now,https://www.nytimes.com/2025/01/28/health/trump-pepfar-freeze.html,"Experts fear a resurgence of infections in low-income countries if the ban were to continue. The waiver remains in place, while officials review foreign aid programs."
When â€˜Cancerâ€™ Gets in the Way of Treatment,https://www.nytimes.com/2025/01/28/health/cancer-diagnosis-language.html,"Some oncologists suggest that, for certain early cancers not at risk of spreading, the term â€œcancerâ€ should be avoided."
"In Seattle, a Convergence of 5,444 Mathematical Minds",https://www.nytimes.com/2025/01/28/science/mathematics-ai-conference-jmm.html,Participants at this yearâ€™s Joint Mathematics Meetings explored everything from the role of A.I. to the hyperbolic design of a patchwork denim skirt.
Saving Childrenâ€™s Eyesight and Their Future in Mozambique,https://www.nytimes.com/2025/01/28/health/vision-problems-children-africa-mozambique.html,"One doctor is showing nurses, teachers and parents how to spot eye problems, many of which can be easily treated. Surgery, and even just glasses, can be life-changing, and keep kids in school."
Trump Administration Halts H.I.V. Drug Distribution in Poor Countries,https://www.nytimes.com/2025/01/27/health/pepfar-trump-freeze.html,"PEPFARâ€™s computer systems also are being taken offline, a sign that the program may not return, as Republican critics had hoped."
The Hitchhikerâ€™s Guide to the Hummingbird,https://www.nytimes.com/2025/01/27/science/hummingbirds-flower-mites-static-cling.html,Tiny mites seem capable of relying on the power of static cling to hop into hummingbird nostrils and move between flowers.
â€˜A Dangerous Virusâ€™: Bird Flu Enters a New Phase,https://www.nytimes.com/2025/01/27/health/bird-flu-h5n1.html,"A pandemic is not inevitable, scientists say. But the outbreak has passed worrisome milestones in recent weeks, including cattle that may have been reinfected."
